fips,name,gcd_funding,pgma,moratorium_june,moratorium,land_score,infra_score,risk_june,risk_sept,rank_june,rank_sept,rank_delta,is_lit,is_peer
48443,Terrell,0,0,0,0,0.997166840848246,0.41683459822715,0.771780875664657,0.771780875664657,31,31,0,FALSE,FALSE
48151,Fisher,0,0,0,0,0.820293122443874,0.615007382009471,0.76831706612909,0.76831706612909,32,32,0,FALSE,FALSE
48349,Navarro,0,0,0,0,0.487876984949636,1,0.767120295421039,0.767120295421039,33,33,0,TRUE,FALSE
48263,Kent,0,0,0,0,0.945569146181564,0.458921320034145,0.764111866993777,0.764111866993777,34,34,0,FALSE,FALSE
48155,Foard,0,0,0,0,0.91453566418954,0.479002592298352,0.757283894644339,0.757283894644339,35,35,0,FALSE,FALSE
48185,Grimes,0,0,0,0,0.703967951437786,0.721280631396572,0.755850801075222,0.755850801075222,36,36,0,FALSE,FALSE
48493,Wilson,0,0,0,0,0.800805821222352,0.595223000922434,0.750311968355711,0.750311968355711,37,37,0,FALSE,FALSE
48379,Rains,0,0,0,0,0.925326960415235,0.445472886419967,0.748416818411628,0.748416818411628,38,38,0,FALSE,FALSE
48023,Baylor,0,0,0,0,0.861754842451359,0.505240642133303,0.742319195453091,0.742319195453091,39,39,0,FALSE,FALSE
48011,Armstrong,0,0,0,0,0.903289343981113,0.456406404219398,0.742159417861776,0.742159417861776,40,40,0,FALSE,FALSE
48149,Fayette,0,0,0,0,0.745642578298856,0.636628595962626,0.740593045217406,0.740593045217406,41,41,0,FALSE,FALSE
48399,Runnels,0,0,0,0,0.783880247462744,0.590528715188965,0.739962408641151,0.739962408641151,42,42,0,FALSE,FALSE
48467,Van Zandt,0,0,0,0,0.91148748826749,0.43635326569885,0.737717958305581,0.737717958305581,43,43,0,FALSE,FALSE
48255,Karnes,0,0,0,0,0.928071940431713,0.415351475965001,0.73701787712825,0.73701787712825,44,44,0,FALSE,FALSE
48235,Irion,0,0,0,0,0.996707222337307,0.3293076295059,0.734490129149001,0.734490129149001,45,45,0,FALSE,FALSE
48153,Floyd,0,0,0,0,0.742881251875352,0.616944000446306,0.730893337887086,0.730893337887086,46,46,0,FALSE,FALSE
48333,Mills,0,0,0,0,0.955019563432487,0.363785757569652,0.72849508431778,0.72849508431778,47,47,0,FALSE,FALSE
48173,Glasscock,0,0,0,0,0.858993299052055,0.475467463951113,0.728347326084801,0.728347326084801,48,48,0,FALSE,FALSE
48237,Jack,0,0,0,0,0.944493502785354,0.374069861304117,0.727649742124333,0.727649742124333,49,49,0,FALSE,FALSE
48253,Jones,0,0,0,0,0.736101223096761,0.615515990392372,0.72693910210861,0.72693910210861,50,50,0,FALSE,FALSE
48383,Reagan,0,0,0,0,0.973056400845863,0.328113220355964,0.722300132485359,0.722300132485359,51,51,0,FALSE,FALSE
48455,Trinity,0,0,0,0,0.987998525691365,0.307998684533315,0.721164403683574,0.721164403683574,52,52,0,FALSE,FALSE
48311,McMullen,0,0,0,0,0.99435001941931,0.296201872756378,0.719306821069259,0.719306821069259,53,53,0,FALSE,FALSE
48133,Eastland,0,0,0,0,0.926226691885178,0.369989590171397,0.716897578018886,0.716897578018886,54,54,0,FALSE,FALSE
48105,Crockett,0,0,0,0,0.998162173115298,0.285393973067171,0.716613487110537,0.716613487110537,55,55,0,FALSE,FALSE
48325,Medina,0,0,0,0,0.762816867985887,0.558532926339289,0.71600770619472,0.71600770619472,56,56,0,FALSE,FALSE
48483,Wheeler,0,0,0,0,0.905014689429167,0.379436596139888,0.710418585670736,0.710418585670736,57,57,0,FALSE,FALSE
48089,Colorado,0,0,0,0,0.887940888557425,0.396494304216794,0.709206775052971,0.709206775052971,58,58,0,FALSE,FALSE
48385,Real,0,0,0,0,0.997062317791643,0.266263102838056,0.707969074009529,0.707969074009529,59,59,0,FALSE,FALSE
48243,Jeff Davis,0,0,0,0,0.991962758261046,0.264756349497729,0.704811696510066,0.704811696510066,60,60,0,FALSE,FALSE
48109,Culberson,0,0,0,0,0.996482674729406,0.258094261824238,0.704223581089747,0.704223581089747,61,61,0,FALSE,FALSE
48093,Comanche,0,0,0,0,0.858732278536566,0.417951120569616,0.703862824687168,0.703862824687168,62,62,0,FALSE,FALSE
48283,La Salle,0,0,0,0,0.993965258135303,0.259613732934971,0.70362332814395,0.70362332814395,63,63,0,FALSE,FALSE
48293,Limestone,0,0,0,0,0.663613309270226,0.64083693086806,0.701850151293849,0.701850151293849,64,64,0,FALSE,FALSE
48297,Live Oak,0,0,0,0,0.967083185482295,0.27897939640788,0.698543249463886,0.698543249463886,65,65,0,FALSE,FALSE
48457,Tyler,0,0,0,0,0.990756571551708,0.2454356206308,0.696034356020937,0.696034356020937,66,66,0,FALSE,FALSE
48125,Dickens,0,0,0,0,0.881945769282338,0.361487276741609,0.691421125139301,0.691421125139301,67,67,0,FALSE,FALSE
48411,San Saba,0,0,0,0,0.949930520005221,0.277608604166162,0.689488847578447,0.689488847578447,68,68,0,FALSE,FALSE
48291,Liberty,0,0,0,0,0.739112826575265,0.523383510431889,0.689413019849798,0.689413019849798,69,69,0,FALSE,FALSE
48095,Concho,0,0,0,0,0.88521660467622,0.339762983471003,0.68383776858949,0.68383776858949,70,70,0,FALSE,FALSE
48211,Hemphill,0,0,0,0,0.974854447686175,0.233805259123735,0.683253299517368,0.683253299517368,71,71,0,FALSE,FALSE
48077,Clay,0,0,0,0,0.916046157478385,0.3012952696493,0.682779173964048,0.682779173964048,72,72,0,FALSE,FALSE
48175,Goliad,0,0,0,0,0.955919551472978,0.252144229240988,0.681664607757362,0.681664607757362,73,73,0,FALSE,FALSE
48001,Anderson,0,0,0,0,0.644182867932808,0.615653525430276,0.68158690333309,0.68158690333309,74,74,0,FALSE,FALSE
48335,Mitchell,0,0,0,0,0.312546268196789,1,0.680501635496382,0.680501635496382,75,75,0,TRUE,FALSE
48319,Mason,0,0,0,0,0.967199368345137,0.236188288123834,0.680480563683635,0.680480563683635,76,76,0,FALSE,FALSE
48473,Waller,0,0,0,0,0.695911646529444,0.550811966664708,0.679685035302232,0.679685035302232,77,77,0,FALSE,FALSE
48107,Crosby,0,0,0,0,0.738376282056691,0.495705536103299,0.677328784294825,0.677328784294825,78,78,0,FALSE,FALSE
