fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
13117,0.0773868507,0,0.0935050732,0.0923917494
13119,1,1,0.1258238466,0.1153412649
13121,0.0063231806,0,0.1758756449,0.1727090757
13123,0.7850923357,0,0.1359683794,0.095257698
13125,1,1,0.1100478469,0.0404564315
13127,0.1863809039,0,0.1446107784,0.1359458731
13129,0.5991589045,0,0.1498637602,0.1033774303
13131,0.6056563501,0,0.193647541,0.1629445823
13133,1,1,0.1208191126,0.1012993901
13135,0.0047280114,0,0.1716799183,0.1691310628
13137,0.5933392714,0,0.120661157,0.1050882794
13139,0.2594813327,0,0.1667906008,0.126948743
13141,1,0,0.2160278746,0.2132736764
13143,0.7566095124,1,0.1223309609,0.1143829944
13145,0.9719049267,0,0.1029110291,0.0922021004
13147,0.7691265293,1,0.1350148368,0.1031894934
13149,1,1,0.08168028,0.1087727595
13151,0.1882083153,0,0.1167100533,0.1261878026
13153,0.0897740676,1,0.1238574423,0.1111293634
13155,1,0,0.1276005548,0.1121629375
13157,0.6281897585,1,0.111758794,0.1043195719
13159,1,0,0.129245283,0.1264284419
13161,0.6672981934,0,0.1201143947,0.1210771411
13163,1,0,0.1404444444,0.1488465763
13165,1,0,0.1641337386,0.1218855219
13167,1,0,0.1109375,0.1019044437
13169,0.8341270681,0,0.1297271422,0.0892118179
13171,0.6310810811,1,0.1101321586,0.0768772348
13173,1,0,0.1600566572,0.1404203472
13175,0.5795440791,0,0.1649870429,0.1358010411
13177,0.6236468353,0,0.0981489453,0.1187234043
13179,0.2351354665,0,0.1576147196,0.1334024148
13181,1,1,0.1285956007,0.1156609195
13183,0.802387432,0,0.1058052434,0.0889044452
13185,0.3507961878,1,0.1681957187,0.1504976303
13187,0.8056617296,0,0.1328828829,0.1273943727
13189,0.59375,1,0.124771759,0.1551239458
13191,1,0,0.1944739639,0.1761376007
13193,1,1,0.1434058899,0.1305892804
13195,0.9065737052,1,0.1522359657,0.1269699673
13197,1,0,0.0820512821,0.078186362
13199,1,1,0.122229259,0.117999479
13201,1,0,0.1442687747,0.1269565217
13205,0.7577568375,0,0.164254248,0.1526542711
13207,0.818363916,0,0.1115479115,0.0739030023
13209,0.9871080139,0,0.0963222417,0.0859598854
13211,0.7656864209,0,0.132505176,0.098429872
13213,0.679583719,0,0.0935550936,0.0735143966
13215,0.0375648795,0,0.1935278379,0.1810418225
13217,0.3397491176,1,0.1664972039,0.1527777778
13219,0.5408502596,0,0.067311135,0.053332389
13221,1,1,0.1374407583,0.0979381443
13223,0.204795418,0,0.0968886463,0.0812229664
13225,0.400414567,0,0.1322233105,0.1332653061
13227,0.8078034682,0,0.1174377224,0.1007159905
13229,0.9871677825,0,0.0787836904,0.0813769264
13231,0.9971941342,0,0.0879032258,0.1023798115
13233,0.5198469185,0,0.1557562077,0.1439114391
13235,1,0,0.1912479741,0.1520839962
13237,1,0,0.1594736842,0.1580342577
13239,0.7369127517,0,0.1428571429,0.0535031847
13241,1,1,0.1548974943,0.1347150259
13243,1,0,0.1395833333,0.1886204209
13245,0.0833321233,0,0.1850468559,0.1892928596
13247,0.1371272844,0,0.1611715994,0.1565410733
13249,1,0,0.171875,0.1455149502
13251,1,0,0.0892667375,0.094402277
13253,1,0,0.164305949,0.1438215439
13255,0.4065313642,0,0.1402321083,0.1372881356
13257,0.5591771207,0,0.1220727454,0.1191433742
13259,1,0,0.0900900901,0.0671550672
13261,0.412243382,0,0.1454965358,0.1333931062
13263,1,1,0.1254901961,0.1284129693
13265,1,1,0.1404958678,0.1254295533
13267,1,0,0.1039046989,0.1049499202
13269,1,1,0.1292407108,0.1573586231
13271,1,0,0.1274834437,0.1485256644
13273,1,0,0.1509715994,0.1451072386
13275,0.4490807459,0,0.1366825709,0.1333680495
13277,0.4054760062,0,0.1527641479,0.1077644819
13279,0.4969293378,1,0.1595092025,0.1476705491
13281,1,0,0.1521126761,0.1549065844
13283,1,0,0.1677852349,0.1267883572
13285,0.4536340852,0,0.1897679952,0.1576417815
13287,0.4739062847,0,0.1330275229,0.1060955519
13289,1,0,0.1334488735,0.1043445971
13291,1,0,0.156833825,0.1121232041
13293,0.466967509,0,0.146647371,0.1730946292
13295,0.5101693913,0,0.1084666407,0.085590595
13297,0.5806067878,0,0.1232959709,0.115119874
13299,0.3211221759,0,0.1327849589,0.142121698
13301,1,1,0.1148825065,0.0929717764
13303,0.6449369622,0,0.1712089448,0.1483484361
13305,0.5763004246,0,0.1507607192,0.1190866172
13307,1,0,0.1279569892,0.1446862996
13309,1,0,0.1147540984,0.1597222222
13311,1,0,0.0995121951,0.0936786742
13313,0.3489267382,0,0.1476176971,0.0893138745
13315,1,0,0.0879345603,0.0843320018
13317,1,0,0.1290726817,0.1138654318
13319,1,0,0.1716068643,0.1374482978
13321,0.7042917629,0,0.1165919283,0.1147540984
15001,0.594983776,,0.2422969188,0.1685321856
15003,0.0168882094,,0.2640778462,0.1935515466
15005,1,,0,
15007,0.4220169718,,0.2529775033,0.1761678897
15009,0.2140646054,,0.2710497033,0.1941862876
16001,0.055658256,1,0.1219393415,0.1094374758
16003,1,0,0.1275964392,0.1105072464
16005,0.1701601967,0,0.1169681847,0.1159896762
16007,1,0,0.0739910314,0.056929538
16009,1,0,0.1388499299,0.1415368365
16011,0.5970161694,1,0.1070971867,0.0794140324
16013,0.2427076467,1,0.1324200913,0.0875183862
16015,1,1,0.106870229,0.0788393904
