fips,h,f1,f2,f3,f4,f5,k6,k8,k10,rucc
46023,95.279110752489,95.279110752489,-54.318725194891,-19.4239712349242,-62.7458526878753,125.042955636514,4,6,6,9
46025,97.9775726058359,97.9775726058359,-57.3725229270419,-19.7560712711528,-67.3089336743102,128.378852856179,6,8,8,9
46027,43.59608229022,43.59608229022,-26.2442655626184,-10.7455060044507,-28.2207523449614,59.8330768944422,1,5,5,6
46029,-60.6058074606413,-60.6058074606413,32.549348829549,11.3994463021403,40.5334041099042,-75.6169300295582,6,8,8,5
46031,-86.6386642101467,-86.6386642101467,44.1003489478394,14.8791260248763,64.5735832873817,-114.669768779435,4,6,6,9
46033,56.2919599553717,56.2919599553717,-31.3793185302012,-10.7625881658084,-39.6451745313642,71.1792738165109,5,7,7,3
46035,-42.8746333936357,-42.8746333936357,22.3171225673638,8.16985585805646,29.0354276659063,-52.3639774810297,6,8,8,7
46037,90.3021710629196,90.3021710629196,-51.3037597715828,-18.1331991207682,-60.5397201518166,117.14694156175,6,8,8,9
46039,12.8565429687033,12.8565429687033,-10.4534517704637,-3.50838914988631,-9.85449791136367,18.4126601176594,6,8,8,9
46041,115.759044817361,115.759044817361,-67.0041032507468,-23.9350965262352,-74.939888834643,151.754329113989,4,6,6,9
46043,10.1724105625252,10.1724105625252,-9.47069764227376,-2.46879195314904,-8.63411803717105,15.819269048107,6,8,8,9
46045,-15.9372992494057,-15.9372992494057,5.53572797880736,2.73490766816236,9.87295182468187,-20.4075891840868,6,8,8,9
46047,103.92960799615,103.92960799615,-57.7248161631653,-20.467297284353,-69.0818766355405,131.958660695323,5,7,7,9
46049,-98.0413756558007,-98.0413756558007,48.6519206399613,18.0511495189098,67.9598196234804,-127.544593015684,6,8,8,9
46051,129.409696876845,129.409696876845,-72.6286246203464,-25.2926031298203,-88.636057304158,170.454163424208,6,8,8,9
46053,124.124682384274,124.124682384274,-70.6659592101126,-25.1011485666838,-84.7557274004868,164.025981634383,6,8,8,9
46057,30.6304904859191,30.6304904859191,-17.7916315137765,-6.22165367081268,-23.1898118058449,42.7298100864402,6,8,8,9
46059,144.508144814171,144.508144814171,-82.8683068210361,-29.6167248815111,-99.3615173034445,190.927100521934,6,8,8,9
46061,-305.884911052784,-305.884911052784,162.750400209114,58.5487501974101,205.351919415107,-395.311906130702,6,8,8,8
46067,71.9622723952714,71.9622723952714,-40.8603288225492,-14.7264474766693,-49.1401723436188,95.011427811544,6,8,8,8
46071,-198.736100884144,-198.736100884144,103.620542871885,37.2021660472367,139.973419199261,-260.457596356012,4,6,6,9
46077,53.652469113153,53.652469113153,-32.440646784755,-11.3071888732889,-37.3621479043219,71.7428050864498,6,8,8,9
46079,21.4916267534997,21.4916267534997,-13.297052197175,-4.25145746367802,-15.0494106414171,28.975380161222,6,8,8,6
46081,-7.6058868288066,-7.6058868288066,3.88166126596182,1.16214796963875,5.53397002209186,-9.44383954816047,5,7,7,6
46083,12.1718164956152,12.1718164956152,-8.42575361650265,-3.93599405509303,-10.495326306274,18.6914152268638,1,1,1,2
46085,234.366666249455,234.366666249455,-131.752984088448,-47.6262056024399,-157.799837597984,305.628879157708,4,6,6,9
46087,-72.1020514238819,-72.1020514238819,35.9206752994545,13.1135922926421,47.1376299780252,-90.9259255922233,6,8,8,2
46089,-245.656805922868,-245.656805922868,129.904103035343,47.495396145929,166.668635124281,-319.805707099176,6,8,8,9
46091,114.893340772421,114.893340772421,-65.1150091531266,-22.3311241855653,-79.3215106135553,150.915916531062,6,8,8,9
46093,-2.30537338123035,-2.30537338123035,0.952386355326933,-0.192787664979737,1.2697718599364,-1.79584499156214,5,7,7,3
46095,-917.197880343833,-917.197880343833,494.714213267212,178.99982355628,626.889011978152,-1194.05781452515,4,6,6,9
46097,7.02772705345667,7.02772705345667,-8.47777549343261,-3.07185116058512,-5.09010787707722,10.9065730067696,6,8,8,8
46099,-49.5402882547382,-49.5402882547382,26.7198882438111,9.51615562667551,32.6553909201913,-61.2703510743642,1,5,5,2
46101,63.2876642260479,63.2876642260479,-36.851529872062,-12.4903666145923,-42.9767344786902,83.0989243604831,6,8,8,8
46103,-75.8296863801267,-75.8296863801267,41.9238206133952,14.9284666681197,52.1693335016337,-98.7153124586264,5,7,7,3
46105,83.5148679210944,83.5148679210944,-49.6236998183712,-17.9653083778694,-57.4881945188469,109.81946844803,6,8,8,9
46109,89.9703379644444,89.9703379644444,-50.5398247744876,-17.8897246027964,-60.5793950652488,118.240758606073,4,6,6,9
46111,-221.228003065642,-221.228003065642,115.693618438602,42.7266273187951,148.664913563565,-284.653851863998,6,8,8,9
46115,89.8109725361784,89.8109725361784,-51.6906700368619,-18.2847438757116,-61.6141660605757,118.586024680363,6,8,8,9
