fips,cropland_acres,land_area_acres,cropland_share_of_land
13155,66025,226792.14171887,0.2911256073495
13157,18924,217328.501814175,0.0870755554012919
13159,10534,235779.957478755,0.0446772495535342
13161,28699,211788.064838575,0.135508108173491
13163,80297,336995.241509688,0.238273394129488
13165,33107,222322.180574295,0.148914516376545
13167,27942,193932.066423753,0.144081381255151
13169,7812,252122.646462947,0.0309849198776679
13171,21168,117440.391626158,0.18024463054741
13173,30586,125784.244338416,0.243162410052803
13175,70921,516694.892231143,0.137258953139164
13177,62501,227740.459769272,0.274439597001433
13179,858,330536.075870429,0.00259578322196921
13181,6927,134643.959927474,0.0514467934820932
13183,6403,256255.354476953,0.0249867949611015
13185,31806,318232.77431758,0.0999457081949053
13187,7459,181083.915297386,0.0411908478328978
13189,15945,164718.352509391,0.0968015995612327
13191,2536,276062.27606794,0.00918633301196096
13193,78391,256423.709596976,0.305708860242323
13195,26061,180687.049723388,0.144232804951415
13197,16786,234061.636821673,0.0717161523261026
13199,21186,320580.211683892,0.0660864246383694
13201,87600,180750.606957119,0.484645675468089
13205,135716,327781.10810898,0.414044606728455
13207,12612,253498.602614654,0.0497517535399265
13209,18320,154332.89265272,0.118704442618228
13211,26720,222343.218385118,0.120174567023307
13213,15589,220476.216150026,0.0707060392826783
13215,317,138559.813942538,0.00228782062403363
13217,6381,175241.173305251,0.0364126756266633
13219,7809,117978.75542474,0.0661898828470133
13221,18310,280999.671882535,0.0651602184348956
13223,4002,199926.296122605,0.0200173767914241
13225,31987,96181.7627404971,0.332568244629727
13227,6438,148518.007591502,0.043348278800694
13229,43780,217891.899117591,0.200925322039499
13231,9469,138295.117623675,0.0684695176713814
13233,21006,198617.491599501,0.105761077893166
13235,39407,159527.269661973,0.247023597178719
13237,15270,220596.343465735,0.069221455623864
13239,3083,96791.937833852,0.0318518263916993
13241,1982,236886.060222297,0.00836689165305914
13243,56272,274071.058652822,0.205319015720234
13245,10758,207577.566073788,0.051826409777711
13247,1835,83083.8762905608,0.0220861144415391
13249,4995,106821.482173158,0.0467602573787835
13251,91381,413325.415890528,0.221087299466246
13253,58651,152029.424229482,0.385787161250237
13255,5510,125421.104448133,0.043932000314019
13257,4445,114471.642868286,0.038830577500443
13259,20529,293599.013094984,0.0699218971603238
13261,75123,309041.428480897,0.243083913924646
13263,3202,250481.527210314,0.0127833778229541
13265,2020,124548.313416119,0.0162186058132408
13267,58327,307737.507748544,0.189534907287478
13269,33349,241079.244313037,0.138332107747513
13271,22653,279876.766714401,0.0809391942958814
13273,100451,214906.509789151,0.467417204339479
13275,92733,348565.023835624,0.266042183405444
13277,50652,166969.679720395,0.303360466911245
13279,29533,232968.001533024,0.126768482390976
13281,1932,106546.425961197,0.01813294047708
13283,13861,127635.88304355,0.108597987254655
13285,7771,264965.717349786,0.0293283224627184
13287,51562,182667.15653926,0.282272965632538
13289,20272,229926.144177129,0.0881674420825453
13291,14790,206133.244264742,0.071749707587219
13293,9522,207018.680173313,0.0459958492249507
13295,29378,285622.875182032,0.102855907396342
13297,18158,209165.026640042,0.086811836049669
13299,19532,575513.547430387,0.0339383843998261
13301,8638,181989.062555095,0.0474643908745064
13303,35885,434256.561698173,0.0826354813377387
13305,22408,410760.079763724,0.0545525261678045
13307,44506,134180.714929189,0.331687008997434
13309,21233,189113.302195995,0.112276607480495
13311,5322,154076.290764823,0.0345413299708994
13313,10398,185884.692971566,0.0559379034054758
13315,46736,241798.886348859,0.193284595746942
13317,18056,300480.494679852,0.0600904229049471
13319,4935,287497.195937193,0.0171653848097987
13321,126385,365242.498108946,0.346030378869826
15001,53076,2578195.47995901,0.0205864917585085
