fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48127,Dimmit,0.3482298317,0.0489472912033344,0,0,0,165.685473118899,0.339707378211046,1,0.190737959787659,0.351234460924577,FALSE,FALSE
48129,Donley,1,0.133014546442768,0,0,0,49.6958998180609,0.933492726778616,1,0.608377927901718,0.821433811803951,FALSE,FALSE
48131,Duval,1,0.0366144531998323,0,0,0,196.020201014622,0.981692773400084,1,0.140829968964727,0.647260841712958,FALSE,FALSE
48133,Eastland,1,0.147546616229645,0,0,0,99.4280408411555,0.926226691885178,1,0.369989590171397,0.716897578018886,FALSE,FALSE
48135,Ector,0.0909057885,0.0033655522100963,0,0,0,0,0.0907528144113016,1,1,0.570928982724754,TRUE,FALSE
48137,Edwards,1,0.00908193475060349,0,0,0,181.970954795952,0.995459032624698,1,0.162072818478952,0.663057167153532,FALSE,FALSE
48139,Ellis,0.3069444805,0.339742423260783,2,0,0,0,0.254803449694204,0,1,0.15794479445651,TRUE,FALSE
48141,El Paso,0.0402364909,0.0846101152970314,0,0,0,298.936507576327,0.0385342838329015,1,0.050319375574273,0.142985003495298,FALSE,FALSE
48143,Erath,0.5098836526,0.202945813010462,0,0,0,66.2463986606824,0.458144276391175,1,0.515579387399616,0.547301395120338,FALSE,FALSE
48145,Falls,0.6819896275,0.516538687044919,0,0,0,51.8022947272991,0.505852614116448,1,0.595697109119297,0.604796955040555,FALSE,FALSE
48147,Fannin,0.7813078347,0.28748497147938,0,0,0,62.4766882978165,0.669000704412327,1,0.535386221614242,0.659858118781439,FALSE,FALSE
48149,Fayette,0.7945569879,0.123123728935853,0,0,0,45.1568845314819,0.745642578298856,1,0.636628595962626,0.740593045217406,FALSE,FALSE
48151,Fisher,1,0.359413755112253,0,0,0,48.6121007980225,0.820293122443874,1,0.615007382009471,0.76831706612909,FALSE,FALSE
48153,Floyd,1,0.514237496249296,0,0,0,48.2977020222838,0.742881251875352,1,0.616944000446306,0.730893337887086,FALSE,FALSE
48155,Foard,1,0.170928671620921,0,0,0,73.6049269689516,0.91453566418954,1,0.479002592298352,0.757283894644339,FALSE,FALSE
48157,Fort Bend,0.0479800773,0.174594633241554,0,0,0,51.8363516444556,0.0437915453004525,1,0.595494267591087,0.37643896274538,FALSE,FALSE
48159,Franklin,1,0.188263973359684,0,0,0,126.038081992004,0.905868013320158,1,0.283546025961764,0.670234868343043,FALSE,FALSE
48161,Freestone,1,0.0814707538141643,0,0,0,0,0.959264623092918,1,1,1,TRUE,FALSE
48163,Frio,0.5070437857,0.167513396384833,0,0,0,86.2318313286947,0.464575472370785,1,0.422182196320016,0.51092914714664,FALSE,FALSE
48165,Gaines,0.6727474766,0.674022538415909,0,0,0,96.8864582542837,0.446023995654585,1,0.379513700046854,0.483695995341081,FALSE,FALSE
48167,Galveston,0.0406436601,0.0340124193886649,0,0,0,69.5827636025363,0.0399524654935942,1,0.498661566873855,0.33353810719104,FALSE,FALSE
48169,Garza,1,0.171126866660219,0,0,0,49.8567218751435,0.91443656666989,1,0.607400308327891,0.811605516885235,FALSE,FALSE
48171,Gillespie,0.5644153414,0.0823005451417098,0,0,0,104.489387074939,0.541189496258218,1,0.351729146148001,0.518945129730159,FALSE,FALSE
48173,Glasscock,1,0.282013401895891,0,0,0,74.3456824256578,0.858993299052055,1,0.475467463951113,0.728347326084801,FALSE,FALSE
48175,Goliad,1,0.088160897054043,0,0,0,137.77540169359,0.955919551472978,1,0.252144229240988,0.681664607757362,FALSE,FALSE
48177,Gonzales,0.6462117743,0.0953786134832119,0,0,0,73.5845568488247,0.61539438277537,1,0.479100175640398,0.609540405248179,FALSE,FALSE
48179,Gray,0.2054930042,0.244592110831243,0,0,0,97.2875000418736,0.180362020370834,1,0.377994739389368,0.351807759813779,FALSE,FALSE
48181,Grayson,0.4768966306,0.309470846311348,0,0,0,49.6009459020188,0.403103828662594,1,0.608955880919683,0.559650442791427,FALSE,FALSE
48183,Gregg,0.1346034659,0.0241593251368072,0,0,0,152.109903260739,0.13297750145139,1,0.218471647496511,0.260847621772815,FALSE,FALSE
48185,Grimes,0.7451824518,0.110615863974414,0,0,0,32.6726992187717,0.703967951437786,1,0.721280631396572,0.755850801075222,FALSE,FALSE
48187,Guadalupe,0.2482195176,0.179228447536645,0,0,0,57.4510748595754,0.225975518206129,1,0.56298024031165,0.452675129502157,FALSE,FALSE
48189,Hale,0.3046245618,0.740349181625406,2,0,0,0,0.191860289284186,0,1,0.126848975611351,TRUE,FALSE
48191,Hall,1,0.248226657179061,2,0,0,0,0.87588667141047,0,1,0.464778630324454,TRUE,FALSE
48193,Hamilton,1,0.127377329222089,0,0,0,49.8026861784027,0.936311335388955,1,0.607728610008565,0.822551332905574,FALSE,FALSE
48195,Hansford,1,0.551268814857779,0,0,0,203.3481872504,0.724365592571111,1,0.130879022804318,0.515919684455611,FALSE,FALSE
48197,Hardeman,1,0.274071442113979,0,0,0,50.0690221230242,0.862964278943011,1,0.606112163818497,0.785631184491599,FALSE,FALSE
48199,Hardin,0.5072113247,0.0112023691282012,0,0,0,110.070367987267,0.504370340457353,1,0.332636931410075,0.492670674170669,FALSE,FALSE
48201,Harris,0.0113372133,0.0681113405456376,2,0,0,0,0.0109511169020426,0,1,0.037474390427231,TRUE,FALSE
48203,Harrison,0.5490492308,0.046005686219181,0,0,0,191.920383251901,0.536419537484466,1,0.146723732304225,0.429778179220366,FALSE,FALSE
48205,Hartley,0.4620958751,0.383155603799809,0,0,0,208.802882902085,0.373568563081329,1,0.12393118476215,0.339673283426176,FALSE,FALSE
48207,Haskell,1,0.575382428599051,1,0,0,0,0.712308785700475,0.5,1,0.630981297195985,TRUE,FALSE
