fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
37071,1,1,5.9,0.542506598292761,0.401510119132182,0.17441894305739,0,0,0,0,0,0,0,0,0,water
37073,1,1,-1.4,0.461342033370654,0.415602061887596,0.529523821516244,0,0,0,0,0,0,0,0,0,water
37077,1,6,2.3,0.372247890448456,0.390520528208642,0.354318815521247,0,0,0,0,0,0,0,0,0,water
37079,1,8,1.1,0.491894116411357,0.479280885516835,0.479284657570139,0,0,0,0,0,0,0,0,0,water
37085,1,4,9.3,0.342150421548133,0.374401522495131,0.326645963643125,0,0,0,0,0,0,0,0,0,water
37087,1,4,1.3,0.293613193513758,0.418576224933005,0.267178359131072,0,0,0,0,0,0,0,0,0,water
37089,1,2,3.6,0.560421627481913,0.414252426494074,0.225270133791558,0,0,0,0,0,0,0,0,0,water
37093,1,2,6,0.31206522866061,0.413791473712883,0.255751056238328,0,0,0,0,0,0,0,0,0,water
37097,1,1,9.9,0.211099427376702,0.312368341003604,0.221839377017562,0,0,0,0,0,0,0,0,0,water
37101,1,1,14.9,0.6361527584864,0.315804036139779,0.287744755942828,0,0,0,0,0,0,0,0,0,water
37105,1,4,8.1,0.282884580239581,0.408561020640832,0.252054103120718,0,0,0,0,0,0,0,0,0,water
37109,1,1,12,0.356363996680198,0.333369129529997,0.357155008602323,0,0,0,0,0,0,0,0,0,water
37111,1,6,1.6,0.330927845995936,0.380318499401425,0.356262261566205,0,0,0,0,0,0,0,0,0,water
37113,1,7,4.4,0.70740638519404,0.467824743563671,0.363020239321847,0,0,0,0,0,0,0,0,0,water
37115,1,2,5,0.456907776855679,0.405227580709306,0.445942101014103,0,0,0,0,0,0,0,0,0,water
37121,1,8,0.9,0.416908973810831,0.408665029580197,0.443668746089243,0,0,0,0,0,0,0,0,0,water
37123,1,8,2.5,0.447608841407486,0.418828662437761,0.456635922552503,0,0,0,0,0,0,0,0,0,water
37125,1,3,8.1,0.623151994013979,0.35336318423676,0.278634748579337,0,0,0,0,0,0,0,0,0,water
37127,1,3,3,0.657892812861894,0.403089853215125,0.276985103083662,0,0,0,0,0,0,0,0,0,water
37133,1,3,3.8,0.599719744618471,0.363714824039906,0.233506446288326,0,0,0,0,0,0,0,0,0,water
37137,1,9,1.9,0.45027618800423,0.451492789339509,0.457641942810413,0,0,0,0,0,0,0,0,0,water
37139,1,4,2.9,0.297163255098043,0.390157303967315,0.267547611289744,0,0,0,0,0,0,0,0,0,water
37141,1,2,15.6,0.665520744146835,0.353824049846794,0.341623961358189,0,0,0,0,0,0,0,0,0,water
37149,1,8,4.9,0.400208389511747,0.457072542151028,0.42876872561945,0,0,0,0,0,0,0,0,0,water
37151,1,2,2.8,0.331543727681671,0.401154576609718,0.320336192425832,0,0,0,0,0,0,0,0,0,water
37157,1,2,2.5,0.660871019271356,0.434527645621183,0.314170223453419,0,0,0,0,0,0,0,0,0,water
37159,1,1,4.4,0.604411802720937,0.41526282566434,0.255705990964596,0,0,0,0,0,0,0,0,0,water
37161,1,4,1.9,0.365581823466981,0.457642475870223,0.33922098806552,0,0,0,0,0,0,0,0,0,water
37163,1,6,2.3,0.415581762727144,0.450685541799177,0.409286555029752,0,0,0,0,0,0,0,0,0,water
37167,1,6,7.4,0.37001856274024,0.388993612516217,0.356308026478635,0,0,0,0,0,0,0,0,0,water
